Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,225511,University of Houston,1,Central Campus,33007,0,0,0,,,0,,,1,0,0,0,0
2002,225511,University of Houston,1,Central Campus,34443,0,0,0,,,0,,,2,0,0,0,0
2003,225511,University of Houston,1,Central Campus,35066,0,0,0,,,0,,,1,3,0,1,0
2004,225511,University of Houston,1,Central Campus,35180,0,0,0,,,0,,,3,1,0,0,0
2005,225511,University of Houston,1,Central Campus,35344,0,0,0,,,0,,,0,0,0,1,0
2006,225511,University of Houston,1,Central Campus,34334,0,0,0,,,0,,,1,0,0,1,0
2007,225511,University of Houston,1,Central Campus,34663,0,0,0,,,0,,,3,2,0,0,0
2008,225511,University of Houston,1,Central Campus,36104,0,0,0,,,0,,,3,3,0,0,0
2009,225511,University of Houston,1,Central Campus,37000,1,0,0,,,0,,,4,1,0,1,0
2010,225511,University of Houston,1,Central Campus,38752,0,0,0,,,0,,,2,0,0,0,0
2011,225511,University of Houston,1,Central Campus,39820,0,0,0,,,0,,,3,0,0,1,0
2012,225511,University of Houston,1,Central Campus,40747,0,0,0,,,0,,,1,1,0,1,0
2013,225511,University of Houston,1,Central Campus,39540,0,0,0,,,0,,,3,0,0,2,0
2014,225511,University of Houston,1,Central Campus,40914,0,0,,0,0,,0,0,2,2,0,0,0
2015,225511,University of Houston,1,Central Campus,42704,0,0,,0,0,,0,0,8,7,0,1,0
2016,225511,University of Houston,1,Central Campus,43774,0,0,,1,1,,0,0,9,5,0,0,0
