Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24955,0,0,1,,,0,,,22,12,0,37,0
2002,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,26138,0,0,1,,,0,,,41,27,0,50,0
2003,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,25764,0,0,0,,,0,,,33,15,3,30,0
2004,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24865,0,0,5,,,0,,,46,13,0,30,0
2005,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24812,0,0,2,,,0,,,40,8,10,21,0
2006,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24644,1,0,0,,,0,,,20,9,0,19,0
2007,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,25747,0,0,0,,,0,,,20,12,0,6,0
2008,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,25835,0,0,2,,,0,,,15,7,0,6,1
2009,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,26840,0,0,0,,,0,,,18,16,0,19,0
2010,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,27850,0,0,0,,,0,,,20,11,0,26,0
2011,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,28091,0,0,0,,,0,,,24,10,0,16,0
2012,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,27875,0,0,2,,,0,,,13,11,0,6,0
2013,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,28038,0,0,0,,,0,,,3,0,0,5,0
2014,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,27969,0,0,,0,0,,0,0,8,0,0,4,0
2015,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,29048,0,0,,0,0,,0,0,7,4,0,10,0
2016,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,29120,0,0,,0,0,,0,0,11,5,0,0,0
