Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39291,0,0,14,,,0,,,0,1,24,0,2
2002,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39999,0,0,9,,,0,,,0,2,26,2,1
2003,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40458,0,0,11,,,0,,,2,17,23,6,0
2004,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40687,0,0,5,,,0,,,0,10,30,4,0
2005,145637,University of Illinois at Urbana-Champaign,1,Main Campus,41938,0,0,8,,,0,,,0,2,22,2,2
2006,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42738,0,0,8,,,0,,,3,2,23,0,0
2007,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42326,0,0,16,,,0,,,1,2,12,2,1
2008,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43246,0,0,13,,,0,,,0,2,23,2,0
2009,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43881,0,0,10,,,0,,,3,4,21,0,0
2010,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43862,0,0,3,,,0,,,0,1,14,0,0
2011,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44407,0,0,5,,,0,,,0,3,21,1,0
2012,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44520,0,0,2,,,0,,,1,3,13,1,1
2013,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44942,0,0,8,,,0,,,1,6,13,3,2
2014,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45140,0,0,,3,0,,0,0,0,2,7,1,0
2015,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45842,0,0,,7,1,,0,0,2,1,14,1,1
2016,145637,University of Illinois at Urbana-Champaign,1,Main Campus,46951,0,0,,11,1,,0,0,1,9,10,8,0
