Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39291,0,0,9,,,0,,,1,8,15,0,1
2002,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39999,0,0,7,,,0,,,0,5,31,0,1
2003,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40458,0,0,9,,,0,,,0,4,20,0,1
2004,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40687,0,0,7,,,0,,,0,4,22,0,2
2005,145637,University of Illinois at Urbana-Champaign,1,Main Campus,41938,0,0,7,,,0,,,2,1,28,0,2
2006,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42738,0,0,5,,,0,,,0,1,31,0,0
2007,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42326,0,0,3,,,0,,,0,0,19,0,0
2008,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43246,0,0,4,,,0,,,0,0,19,0,0
2009,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43881,0,0,5,,,0,,,1,1,23,0,0
2010,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43862,0,0,3,,,0,,,0,0,25,0,0
2011,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44407,0,0,3,,,0,,,0,1,16,0,4
2012,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44520,0,0,8,,,0,,,0,2,3,0,0
2013,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44942,0,0,8,,,0,,,0,2,3,0,1
2014,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45140,0,0,,7,1,,0,0,0,0,2,0,3
2015,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45842,0,0,,7,0,,0,0,0,0,2,0,2
2016,145637,University of Illinois at Urbana-Champaign,1,Main Campus,46951,1,0,,14,1,,0,0,0,1,11,0,2
