Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39291,0,0,0,,,0,,,7,17,0,2,0
2002,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39999,0,0,1,,,0,,,5,20,0,1,1
2003,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40458,0,0,0,,,0,,,2,16,0,2,0
2004,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40687,0,0,0,,,0,,,5,23,0,0,0
2005,145637,University of Illinois at Urbana-Champaign,1,Main Campus,41938,0,0,0,,,0,,,9,5,1,1,0
2006,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42738,0,0,2,,,0,,,11,14,0,0,0
2007,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42326,0,0,1,,,0,,,7,12,0,5,0
2008,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43246,0,0,1,,,0,,,4,4,0,2,0
2009,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43881,0,0,0,,,0,,,7,8,0,1,1
2010,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43862,0,0,2,,,0,,,5,30,0,0,0
2011,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44407,0,0,1,,,0,,,3,7,0,0,0
2011,145637,University of Illinois at Urbana-Champaign,2,Savoy Campus,44407,0,0,0,,,0,,,0,0,0,0,0
2012,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44520,0,0,0,,,0,,,3,17,0,1,0
2012,145637,University of Illinois at Urbana-Champaign,2,Savoy Campus,44520,0,0,0,,,0,,,0,0,0,0,0
2013,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44942,0,0,0,,,0,,,1,7,0,1,0
2013,145637,University of Illinois at Urbana-Champaign,2,Savoy Campus,44942,0,0,0,,,0,,,0,0,0,0,0
2014,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45140,0,0,,0,0,,0,0,4,4,0,1,0
2015,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45842,0,0,,0,0,,0,0,2,4,0,1,0
2015,145637,University of Illinois at Urbana-Champaign,3,Illini Center,45842,0,0,,0,0,,0,0,0,0,0,0,0
2016,145637,University of Illinois at Urbana-Champaign,1,Main Campus,46951,0,0,,0,0,,0,0,1,3,0,1,0
2016,145637,University of Illinois at Urbana-Champaign,3,Illini Center,46951,0,0,,0,0,,0,0,0,0,0,0,0
