Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,157085,University of Kentucky,1,University of KY,23901,0,0,4,,,3,,,3,33,76,17,3
2002,157085,University of Kentucky,1,University of KY,24985,0,0,3,,,1,,,6,41,83,16,5
2003,157085,University of Kentucky,1,University of KY,25397,0,0,0,,,0,,,3,33,90,21,13
2004,157085,University of Kentucky,1,University of KY,25686,0,0,4,,,0,,,3,42,42,14,6
2005,157085,University of Kentucky,1,University of KY,25672,0,0,7,,,0,,,8,34,43,5,9
2006,157085,University of Kentucky,1,University of KY,26382,0,0,10,,,0,,,1,40,59,3,6
2007,157085,University of Kentucky,1,University of KY,25856,0,0,18,,,0,,,5,0,32,8,4
2008,157085,University of Kentucky,1,University of KY,26054,0,0,8,,,0,,,4,0,22,20,2
2009,157085,University of Kentucky,1,University of KY,26295,0,0,7,,,0,,,6,11,31,8,0
2010,157085,University of Kentucky,1,University of KY,27108,0,0,8,,,0,,,10,7,27,5,2
2011,157085,University of Kentucky,1,University of KY,27226,0,0,5,,,0,,,3,4,34,12,0
2012,157085,University of Kentucky,1,University of KY,28034,0,0,1,,,0,,,2,8,50,21,1
2013,157085,University of Kentucky,1,University of KY,28435,0,0,13,,,0,,,4,8,49,17,2
2014,157085,University of Kentucky,1,University of KY,29203,0,0,,6,5,,0,0,5,0,25,12,1
2015,157085,University of Kentucky,1,University of KY,29727,0,0,,16,8,,0,0,1,6,16,32,0
2016,157085,University of Kentucky,1,University of KY,29781,0,2,,17,3,,0,0,4,1,23,26,2
