Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,157085,University of Kentucky,1,University of KY,23901,0,0,1,,,2,,,0,12,29,0,2
2002,157085,University of Kentucky,1,University of KY,24985,0,0,2,,,1,,,0,13,26,0,2
2003,157085,University of Kentucky,1,University of KY,25397,0,0,0,,,0,,,0,11,28,0,5
2004,157085,University of Kentucky,1,University of KY,25686,0,0,1,,,0,,,0,14,6,0,5
2005,157085,University of Kentucky,1,University of KY,25672,0,0,5,,,0,,,0,12,9,0,4
2006,157085,University of Kentucky,1,University of KY,26382,0,0,3,,,0,,,0,10,13,0,3
2007,157085,University of Kentucky,1,University of KY,25856,0,0,12,,,0,,,0,0,13,0,3
2008,157085,University of Kentucky,1,University of KY,26054,0,0,7,,,0,,,1,0,16,0,0
2009,157085,University of Kentucky,1,University of KY,26295,0,0,2,,,0,,,1,0,17,0,0
2010,157085,University of Kentucky,1,University of KY,27108,0,0,4,,,0,,,1,1,7,0,2
2011,157085,University of Kentucky,1,University of KY,27226,0,0,2,,,0,,,0,1,13,0,0
2012,157085,University of Kentucky,1,University of KY,28034,0,0,0,,,0,,,0,0,20,0,1
2013,157085,University of Kentucky,1,University of KY,28435,0,0,12,,,0,,,0,0,16,0,1
2014,157085,University of Kentucky,1,University of KY,29203,0,0,,6,0,,0,0,0,0,3,0,0
2015,157085,University of Kentucky,1,University of KY,29727,0,0,,12,3,,0,0,0,0,3,0,0
2016,157085,University of Kentucky,1,University of KY,29781,0,0,,15,1,,0,0,0,0,3,0,0
