Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,157085,University of Kentucky,1,University of KY,23901,3,0,35,,,27,,,55,214,185,66,4
2002,157085,University of Kentucky,1,University of KY,24985,1,0,42,,,31,,,47,227,194,52,2
2003,157085,University of Kentucky,1,University of KY,25397,0,0,0,,,0,,,0,0,0,0,0
2004,157085,University of Kentucky,1,University of KY,25686,0,0,0,,,0,,,0,0,0,0,0
2005,157085,University of Kentucky,1,University of KY,25672,0,0,0,,,0,,,0,0,0,0,0
2006,157085,University of Kentucky,1,University of KY,26382,0,0,0,,,0,,,2,9,0,0,0
2007,157085,University of Kentucky,1,University of KY,25856,0,0,1,,,0,,,0,0,6,4,0
2008,157085,University of Kentucky,1,University of KY,26054,0,0,0,,,0,,,0,0,0,0,0
2009,157085,University of Kentucky,1,University of KY,26295,0,0,0,,,0,,,0,0,0,1,0
2010,157085,University of Kentucky,1,University of KY,27108,0,0,0,,,0,,,1,0,0,1,0
2011,157085,University of Kentucky,1,University of KY,27226,0,0,0,,,0,,,0,3,0,0,0
2012,157085,University of Kentucky,1,University of KY,28034,0,0,0,,,0,,,4,3,0,0,0
2013,157085,University of Kentucky,1,University of KY,28435,0,0,1,,,0,,,1,1,0,2,0
2014,157085,University of Kentucky,1,University of KY,29203,0,0,,1,0,,0,0,6,1,0,0,0
2015,157085,University of Kentucky,1,University of KY,29727,0,0,,0,0,,0,0,1,0,0,2,0
2016,157085,University of Kentucky,1,University of KY,29781,0,0,,0,0,,0,0,0,0,0,0,0
