Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38248,0,0,2,,,0,,,1,5,43,2,0
2002,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38972,0,0,48,,,3,,,0,3,52,0,0
2003,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39031,0,0,44,,,6,,,2,1,28,3,4
2004,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39533,0,0,49,,,1,,,1,3,33,4,0
2005,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39993,0,0,54,,,0,,,1,4,27,3,2
2006,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,40025,0,0,3,,,0,,,2,1,25,3,2
2007,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41042,1,0,3,,,0,,,32,84,43,42,1
2008,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41028,0,0,0,,,0,,,0,1,18,4,0
2009,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41674,0,0,6,,,0,,,0,1,25,9,1
2010,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41924,0,0,5,,,0,,,0,0,27,5,4
2011,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,42716,0,0,5,,,0,,,0,5,23,2,1
2012,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43426,0,0,9,,,0,,,1,1,21,0,0
2013,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43710,1,0,5,,,0,,,0,1,19,1,1
2014,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43625,0,0,,5,2,,0,0,1,0,19,2,0
2015,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43651,0,0,,3,4,,0,0,0,1,18,3,0
2016,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,44718,0,0,,6,2,,0,0,0,2,10,0,0
