Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38248,0,0,7,,,0,,,1,1,77,0,6
2002,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38972,0,0,7,,,0,,,2,5,100,0,9
2003,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39031,0,0,4,,,0,,,0,0,48,0,2
2004,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39533,0,0,4,,,0,,,1,5,11,0,1
2005,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39993,0,0,3,,,0,,,1,1,32,0,3
2006,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,40025,0,0,2,,,0,,,0,5,33,0,6
2007,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41042,0,0,2,,,0,,,0,7,19,0,0
2008,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41028,0,0,3,,,0,,,0,4,26,0,0
2009,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41674,0,0,7,,,0,,,0,5,7,0,4
2010,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41924,0,0,5,,,0,,,0,2,15,0,1
2011,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,42716,0,0,9,,,0,,,0,2,26,0,1
2012,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43426,0,0,19,,,0,,,0,2,25,0,3
2013,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43710,0,0,9,,,0,,,0,1,14,0,0
2014,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43625,0,0,,7,0,,0,0,0,4,5,0,3
2015,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43651,0,0,,10,3,,0,0,2,0,4,0,2
2016,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,44718,0,0,,6,7,,0,0,0,1,1,0,1
