Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38248,0,0,3,,,1,,,9,10,0,2,1
2002,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,38972,0,0,2,,,0,,,4,10,0,2,1
2003,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39031,0,0,3,,,0,,,9,0,0,5,2
2004,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39533,0,0,1,,,0,,,3,7,0,4,0
2005,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,39993,0,0,0,,,0,,,5,3,0,1,0
2006,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,40025,0,0,3,,,0,,,7,4,0,2,0
2007,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41042,0,0,2,,,0,,,2,7,0,0,0
2008,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41028,0,0,0,,,0,,,0,1,0,0,0
2009,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41674,0,0,0,,,0,,,5,9,0,5,3
2010,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,41924,0,0,2,,,0,,,6,1,0,12,0
2011,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,42716,0,0,2,,,0,,,10,17,0,2,0
2012,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43426,0,0,2,,,0,,,0,5,0,0,0
2013,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43710,0,0,4,,,0,,,1,6,0,0,0
2014,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43625,0,0,,2,0,,0,0,0,3,0,2,0
2015,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,43651,0,0,,0,0,,0,0,2,0,0,1,0
2016,170976,University of Michigan-Ann Arbor,1,Ann Arbor campus,44718,0,0,,1,0,,0,0,2,3,0,3,2
