Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,163286,University of Maryland-College Park,1,Main Campus,34160,0,0,7,,,0,,,9,21,123,104,6
2002,163286,University of Maryland-College Park,1,Main Campus,34801,0,0,14,,,1,,,9,11,139,75,4
2003,163286,University of Maryland-College Park,1,Main Campus,35329,0,0,11,,,0,,,11,23,148,71,2
2004,163286,University of Maryland-College Park,1,Main Campus,34933,0,0,9,,,0,,,8,13,115,65,2
2005,163286,University of Maryland-College Park,1,Main Campus,35369,0,0,27,,,0,,,16,17,101,30,3
2006,163286,University of Maryland-College Park,1,Main Campus,35102,0,0,31,,,0,,,13,14,202,51,4
2007,163286,University of Maryland-College Park,1,Main Campus,36014,0,0,16,,,0,,,8,12,91,34,6
2008,163286,University of Maryland-College Park,1,Main Campus,37000,0,0,15,,,0,,,10,6,143,44,1
2009,163286,University of Maryland-College Park,1,Main Campus,37195,0,0,4,,,0,,,7,9,87,37,2
2010,163286,University of Maryland-College Park,1,Main Campus,37641,0,0,9,,,0,,,8,9,75,46,6
2011,163286,University of Maryland-College Park,1,Main Campus,37631,0,0,4,,,0,,,3,4,64,37,1
2012,163286,University of Maryland-College Park,1,Main Campus,37248,0,0,9,,,0,,,3,0,50,22,3
2013,163286,University of Maryland-College Park,1,Main Campus,37272,0,0,19,,,0,,,3,4,54,12,1
2014,163286,University of Maryland-College Park,1,Main Campus,37610,0,0,,10,9,,0,0,3,3,74,40,3
2015,163286,University of Maryland-College Park,1,Main Campus,38140,0,0,,15,14,,0,0,1,1,50,28,1
2016,163286,University of Maryland-College Park,1,Main Campus,39083,0,0,,5,11,,0,0,3,6,17,18,0
