Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,176017,University of Mississippi,1,Main Campus,12626,0,0,0,,,0,,,0,0,0,0,0
2006,176017,University of Mississippi,1,Main Campus,15220,0,0,0,,,0,,,0,0,0,0,0
2007,176017,University of Mississippi,1,Main Campus,15129,0,0,0,,,0,,,0,0,0,0,0
2008,176017,University of Mississippi,1,Main Campus,15289,0,0,0,,,0,,,0,0,0,3,0
2009,176017,University of Mississippi,1,Main Campus,15932,0,0,0,,,0,,,0,0,3,0,0
2010,176017,University of Mississippi,1,Main Campus,17085,0,0,1,,,0,,,1,0,2,0,0
2011,176017,University of Mississippi,1,Main Campus,18224,0,0,1,,,0,,,0,0,2,0,0
2012,176017,University of Mississippi,1,Main Campus,18794,0,0,0,,,0,,,1,0,1,0,0
2013,176017,University of Mississippi,1,Main Campus,19431,0,0,0,,,0,,,0,0,1,0,0
2014,176017,University of Mississippi,1,Main Campus,22503,0,0,,1,0,,0,0,1,0,0,0,0
2015,176017,University of Mississippi,1,Main Campus,23212,0,0,,1,0,,0,0,0,0,0,0,0
2016,176017,University of Mississippi,1,Main Campus,23610,0,0,,1,0,,0,0,0,0,0,0,0
