Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,176017,University of Mississippi,1,Main Campus,12626,0,0,0,,,0,,,0,1,6,1,0
2002,176017,University of Mississippi,1,Main Campus,13135,0,0,3,,,0,,,0,0,8,0,0
2003,176017,University of Mississippi,1,Main Campus,13780,0,0,2,,,0,,,0,0,6,1,0
2004,176017,University of Mississippi,1,Main Campus,14497,0,0,1,,,0,,,0,0,4,0,0
2005,176017,University of Mississippi,1,Main Campus,14901,0,0,0,,,0,,,0,0,4,0,0
2006,176017,University of Mississippi,1,Main Campus,15220,0,0,0,,,0,,,0,2,0,0,0
2007,176017,University of Mississippi,1,Main Campus,15129,0,0,0,,,0,,,0,0,9,0,0
2008,176017,University of Mississippi,1,Main Campus,15289,0,0,0,,,0,,,0,0,20,0,0
2009,176017,University of Mississippi,1,Main Campus,15932,0,0,1,,,0,,,0,0,21,0,0
2010,176017,University of Mississippi,1,Main Campus,17085,0,0,2,,,0,,,0,0,37,0,0
2011,176017,University of Mississippi,1,Main Campus,18224,0,0,4,,,0,,,0,0,36,0,0
2012,176017,University of Mississippi,1,Main Campus,18794,0,0,0,,,0,,,0,1,28,0,0
2013,176017,University of Mississippi,1,Main Campus,19431,0,0,5,,,0,,,0,1,9,0,0
2014,176017,University of Mississippi,1,Main Campus,22503,0,0,,4,0,,0,0,1,2,2,0,0
2015,176017,University of Mississippi,1,Main Campus,23212,0,0,,7,0,,0,0,0,1,3,0,0
2016,176017,University of Mississippi,1,Main Campus,23610,0,0,,2,0,,0,0,0,0,6,0,0
