Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209551,University of Oregon,1,Main Campus,18956,0,0,6,,,0,,,1,1,13,1,1
2002,209551,University of Oregon,1,Main Campus,19997,0,0,5,,,0,,,0,1,19,0,1
2003,209551,University of Oregon,1,Main Campus,19992,0,0,2,,,0,,,0,1,0,0,0
2004,209551,University of Oregon,1,Main Campus,20296,0,0,0,,,0,,,0,0,0,0,0
2005,209551,University of Oregon,1,Main Campus,20347,0,0,1,,,0,,,0,0,0,0,0
2006,209551,University of Oregon,1,Main Campus,20348,0,0,2,,,0,,,1,2,21,11,1
2007,209551,University of Oregon,1,Main Campus,20332,0,0,1,,,0,,,0,3,5,6,0
2008,209551,University of Oregon,1,Main Campus,21452,0,0,1,,,0,,,0,0,6,7,0
2009,209551,University of Oregon,1,Main Campus,22335,0,0,1,,,0,,,0,3,8,0,1
2010,209551,University of Oregon,1,Main Campus,23342,0,0,3,,,0,,,0,0,4,4,1
2011,209551,University of Oregon,1,Main Campus,24396,0,0,1,,,0,,,0,0,7,2,0
2012,209551,University of Oregon,1,Main Campus,24518,0,0,7,,,0,,,1,0,17,1,2
2013,209551,University of Oregon,1,Main Campus,24473,0,0,2,,,0,,,0,0,12,1,0
2014,209551,University of Oregon,1,Main Campus,24096,0,0,,2,2,,0,0,1,5,6,1,0
2015,209551,University of Oregon,1,Main Campus,24032,0,0,,6,2,,0,0,2,0,4,1,0
2016,209551,University of Oregon,1,Main Campus,23546,0,0,,1,2,,0,0,0,1,6,1,0
