Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209551,University of Oregon,1,Main Campus,18956,0,0,2,,,0,,,0,1,27,1,4
2002,209551,University of Oregon,1,Main Campus,19997,0,0,8,,,0,,,2,1,53,0,4
2003,209551,University of Oregon,1,Main Campus,19992,0,0,6,,,0,,,0,1,38,0,4
2004,209551,University of Oregon,1,Main Campus,20296,0,0,2,,,0,,,1,2,145,1,2
2005,209551,University of Oregon,1,Main Campus,20347,0,0,8,,,0,,,1,1,70,14,3
2006,209551,University of Oregon,1,Main Campus,20348,0,0,4,,,0,,,1,5,32,12,2
2007,209551,University of Oregon,1,Main Campus,20332,0,0,3,,,0,,,2,5,33,2,1
2007,209551,University of Oregon,2,Oregon Institute of Marine Biology,20332,0,0,0,,,0,,,0,0,0,0,0
2008,209551,University of Oregon,1,Main Campus,21452,0,0,8,,,0,,,0,2,14,10,1
2008,209551,University of Oregon,2,Oregon Institute of Marine Biology,21452,0,0,0,,,0,,,0,0,0,0,0
2009,209551,University of Oregon,1,Main Campus,22335,0,0,6,,,0,,,1,0,25,10,5
2009,209551,University of Oregon,2,Oregon Institute of Marine Biology,22335,0,0,0,,,0,,,0,0,1,0,0
2009,209551,University of Oregon,3,University of Oregon-Portland Campus,22335,0,0,0,,,0,,,0,0,0,0,0
2010,209551,University of Oregon,1,Main Campus,23342,0,0,7,,,0,,,1,2,14,2,18
2010,209551,University of Oregon,2,Oregon Institute of Marine Biology,23342,0,0,0,,,0,,,0,0,1,0,0
2010,209551,University of Oregon,3,University of Oregon-Portland Campus,23342,0,0,0,,,0,,,0,0,1,0,0
2011,209551,University of Oregon,1,Main Campus,24396,0,0,8,,,0,,,0,3,35,3,0
2011,209551,University of Oregon,2,Oregon Institute of Marine Biology,24396,0,0,0,,,0,,,0,0,0,0,0
2011,209551,University of Oregon,3,University of Oregon-Portland Campus,24396,0,0,0,,,0,,,0,0,0,0,0
2012,209551,University of Oregon,1,Main Campus,24518,0,0,17,,,0,,,1,2,25,2,5
2012,209551,University of Oregon,2,Oregon Institute of Marine Biology,24518,0,0,0,,,0,,,0,0,2,0,0
2012,209551,University of Oregon,3,University of Oregon-Portland Campus,24518,0,0,0,,,0,,,0,0,0,0,0
2013,209551,University of Oregon,1,Main Campus,24473,0,0,12,,,0,,,1,3,23,7,29
2013,209551,University of Oregon,2,Oregon Institute of Marine Biology,24473,0,0,0,,,0,,,0,0,1,0,0
2013,209551,University of Oregon,3,University of Oregon-Portland Campus,24473,0,0,0,,,0,,,0,0,0,0,0
2014,209551,University of Oregon,1,Main Campus,24096,0,0,,6,5,,0,0,1,4,24,6,12
2014,209551,University of Oregon,2,Oregon Institute of Marine Biology,24096,0,0,,0,0,,0,0,0,0,0,0,0
2014,209551,University of Oregon,3,University of Oregon-Portland Campus,24096,0,0,,0,0,,0,0,0,0,0,0,0
2015,209551,University of Oregon,1,Main Campus,24032,0,0,,7,10,,0,1,2,4,12,4,10
2015,209551,University of Oregon,2,Oregon Institute of Marine Biology,24032,0,0,,0,0,,0,0,0,0,0,0,0
2015,209551,University of Oregon,3,University of Oregon-Portland Campus,24032,0,0,,0,0,,0,0,0,0,0,0,0
2016,209551,University of Oregon,1,Main Campus,23546,0,0,,16,7,,0,0,2,2,21,5,7
2016,209551,University of Oregon,2,Oregon Institute of Marine Biology,23546,0,0,,0,0,,0,0,0,0,0,0,0
2016,209551,University of Oregon,3,University of Oregon-Portland Campus,23546,0,0,,0,0,,0,0,0,0,0,0,0
