Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26710,1,0,7,,,0,,,34,22,46,46,1
2002,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,27190,0,0,8,,,0,,,32,19,34,38,0
2003,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26795,0,0,10,,,0,,,45,20,33,59,0
2004,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26731,0,0,4,,,0,,,47,18,34,48,1
2005,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26559,1,0,3,,,0,,,18,14,9,30,0
2006,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26860,0,0,3,,,0,,,25,12,0,28,0
2007,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,27020,0,0,4,,,0,,,22,14,0,20,1
2008,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,27562,0,0,3,,,0,,,10,11,0,13,1
2009,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28328,0,0,2,,,0,,,14,13,0,14,1
2010,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28823,0,0,0,,,0,,,8,9,0,5,0
2011,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28766,0,0,3,,,0,,,8,16,0,4,0
2012,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28769,1,0,3,,,0,,,11,7,0,6,0
2013,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28649,1,0,2,,,0,,,12,7,0,6,0
2014,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28617,0,0,,1,2,,0,0,12,8,0,2,0
2015,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28649,0,0,,2,2,,0,0,7,7,0,3,0
2016,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28664,0,0,,0,2,,0,0,9,0,0,3,0
