Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,123961,University of Southern California,1,University Park Campus,29813,0,0,6,,,0,,,16,4,49,24,0
2002,123961,University of Southern California,1,University Park Campus,30682,0,0,9,,,0,,,14,3,37,10,0
2003,123961,University of Southern California,1,University Park Campus,31606,0,0,8,,,0,,,26,4,42,8,0
2004,123961,University of Southern California,1,University Park Campus,32160,0,0,3,,,0,,,24,4,40,13,1
2005,123961,University of Southern California,1,University Park Campus,32836,0,0,4,,,0,,,19,7,57,9,0
2006,123961,University of Southern California,1,University Park Campus,33389,0,0,7,,,0,,,21,8,31,9,0
2007,123961,University of Southern California,1,University Park Campus,33408,0,0,2,,,0,,,3,7,28,18,0
2008,123961,University of Southern California,1,University Park Campus,33747,0,0,5,,,0,,,5,7,26,10,0
2009,123961,University of Southern California,1,University Park Campus,34824,0,0,7,,,0,,,5,2,9,4,0
2010,123961,University of Southern California,1,University Park Campus,36896,0,0,4,,,0,,,3,2,23,0,0
2011,123961,University of Southern California,1,University Park Campus,38010,0,0,6,,,0,,,9,4,21,4,1
2012,123961,University of Southern California,1,University Park Campus,39958,0,0,14,,,0,,,4,5,19,2,1
2013,123961,University of Southern California,1,University Park Campus,41368,0,0,23,,,0,,,3,4,10,3,1
2014,123961,University of Southern California,1,University Park Campus,42453,0,0,,10,4,,0,0,0,4,11,0,1
2015,123961,University of Southern California,1,University Park Campus,43401,0,0,,5,10,,0,0,3,1,18,6,0
2016,123961,University of Southern California,1,University Park Campus,43871,0,0,,7,6,,0,0,2,1,12,3,2
