Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,123961,University of Southern California,1,University Park Campus,29813,0,0,8,,,1,,,3,2,85,24,1
2002,123961,University of Southern California,1,University Park Campus,30682,0,0,12,,,0,,,16,1,107,19,3
2003,123961,University of Southern California,1,University Park Campus,31606,0,0,12,,,0,,,13,1,91,20,0
2004,123961,University of Southern California,1,University Park Campus,32160,0,0,14,,,0,,,12,4,48,9,0
2005,123961,University of Southern California,1,University Park Campus,32836,0,0,13,,,0,,,9,0,89,9,0
2006,123961,University of Southern California,1,University Park Campus,33389,0,0,16,,,0,,,25,9,76,20,0
2007,123961,University of Southern California,1,University Park Campus,33408,0,0,0,,,0,,,22,6,43,12,3
2008,123961,University of Southern California,1,University Park Campus,33747,0,0,6,,,0,,,6,7,60,19,0
2009,123961,University of Southern California,1,University Park Campus,34824,0,0,9,,,0,,,1,1,22,8,2
2010,123961,University of Southern California,1,University Park Campus,36896,0,0,5,,,0,,,3,5,34,0,2
2011,123961,University of Southern California,1,University Park Campus,38010,0,0,14,,,0,,,5,1,50,1,2
2012,123961,University of Southern California,1,University Park Campus,39958,0,0,15,,,0,,,4,9,31,2,1
2013,123961,University of Southern California,1,University Park Campus,41368,0,0,8,,,0,,,2,2,18,7,2
2014,123961,University of Southern California,1,University Park Campus,42453,0,0,,7,6,,0,0,2,5,17,1,1
2015,123961,University of Southern California,1,University Park Campus,43401,0,0,,5,11,,0,2,0,4,10,4,1
2016,123961,University of Southern California,1,University Park Campus,43871,1,0,,10,7,,0,0,2,2,26,4,0
