Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,123961,University of Southern California,1,University Park Campus,29813,0,0,1,,,0,,,3,7,0,22,1
2002,123961,University of Southern California,1,University Park Campus,30682,0,0,3,,,0,,,30,4,32,51,0
2009,123961,University of Southern California,1,University Park Campus,34824,0,0,2,,,2,,,10,6,3,23,0
2010,123961,University of Southern California,1,University Park Campus,36896,0,0,1,,,0,,,1,2,19,11,0
2011,123961,University of Southern California,1,University Park Campus,38010,0,0,2,,,0,,,15,5,12,15,0
2012,123961,University of Southern California,1,University Park Campus,39958,0,0,1,,,0,,,10,1,3,10,0
2013,123961,University of Southern California,1,University Park Campus,41368,0,0,0,,,0,,,4,2,0,9,1
2014,123961,University of Southern California,1,University Park Campus,42453,0,0,,1,1,,0,0,7,1,2,3,0
2015,123961,University of Southern California,1,University Park Campus,43401,0,0,,1,0,,0,0,3,2,1,7,0
2016,123961,University of Southern California,1,University Park Campus,43871,0,0,,5,2,,0,0,8,4,4,7,0
