Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,236948,University of Washington-Seattle Campus,1,Main Campus,37412,0,0,0,,,0,,,0,0,0,0,0
2003,236948,University of Washington-Seattle Campus,1,Main Campus,39135,0,0,1,,,0,,,4,10,57,3,5
2004,236948,University of Washington-Seattle Campus,1,Main Campus,39199,0,0,2,,,0,,,0,2,40,2,1
2005,236948,University of Washington-Seattle Campus,1,Main Campus,39251,0,0,2,,,0,,,2,2,98,3,2
2006,236948,University of Washington-Seattle Campus,1,Main Campus,39524,0,0,1,,,0,,,1,5,57,3,2
2007,236948,University of Washington-Seattle Campus,1,Main Campus,40218,0,0,8,,,0,,,3,0,64,43,2
2008,236948,University of Washington-Seattle Campus,1,Main Campus,39675,0,0,1,,,0,,,4,2,57,2,2
2009,236948,University of Washington-Seattle Campus,1,Main Campus,45943,0,0,5,,,0,,,3,2,25,2,1
2010,236948,University of Washington-Seattle Campus,1,Main Campus,42451,0,0,0,,,0,,,0,3,16,1,0
2011,236948,University of Washington-Seattle Campus,1,Main Campus,42444,0,0,24,,,0,,,2,8,79,17,2
2012,236948,University of Washington-Seattle Campus,1,Main Campus,43485,0,0,11,,,0,,,1,7,58,4,0
2013,236948,University of Washington-Seattle Campus,1,Main Campus,43762,0,0,7,,,0,,,6,15,62,22,1
2014,236948,University of Washington-Seattle Campus,1,Main Campus,44784,0,0,,8,0,,0,0,0,7,67,16,4
2015,236948,University of Washington-Seattle Campus,1,Main Campus,45408,0,0,,16,13,,0,0,3,3,63,11,1
2016,236948,University of Washington-Seattle Campus,1,Main Campus,45591,0,0,,7,3,,0,0,2,4,79,22,2
