Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,236948,University of Washington-Seattle Campus,1,Main Campus,37412,0,0,2,,,0,,,4,6,92,38,2
2002,236948,University of Washington-Seattle Campus,1,Main Campus,39882,0,0,0,,,0,,,1,0,131,35,1
2003,236948,University of Washington-Seattle Campus,1,Main Campus,39135,0,0,1,,,0,,,1,2,74,54,0
2004,236948,University of Washington-Seattle Campus,1,Main Campus,39199,0,0,1,,,0,,,4,0,51,35,3
2005,236948,University of Washington-Seattle Campus,1,Main Campus,39251,0,0,6,,,0,,,2,2,87,46,2
2006,236948,University of Washington-Seattle Campus,1,Main Campus,39524,0,0,2,,,0,,,2,4,87,31,4
2007,236948,University of Washington-Seattle Campus,1,Main Campus,40218,1,0,0,,,0,,,3,7,70,33,3
2008,236948,University of Washington-Seattle Campus,1,Main Campus,39675,0,0,2,,,0,,,6,1,75,19,0
2009,236948,University of Washington-Seattle Campus,1,Main Campus,45943,0,0,0,,,0,,,6,6,83,8,2
2010,236948,University of Washington-Seattle Campus,1,Main Campus,42451,0,0,4,,,0,,,1,1,56,9,4
2011,236948,University of Washington-Seattle Campus,1,Main Campus,42444,0,0,5,,,0,,,3,3,40,1,0
2012,236948,University of Washington-Seattle Campus,1,Main Campus,43485,0,0,2,,,0,,,4,1,34,7,2
2013,236948,University of Washington-Seattle Campus,1,Main Campus,43762,0,0,2,,,0,,,3,6,62,8,1
2014,236948,University of Washington-Seattle Campus,1,Main Campus,44784,0,0,,8,2,,0,0,3,9,40,9,2
2015,236948,University of Washington-Seattle Campus,1,Main Campus,45408,0,0,,12,3,,0,0,2,3,36,11,1
2016,236948,University of Washington-Seattle Campus,1,Main Campus,45591,0,0,,3,10,,0,0,3,2,49,5,0
