Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,240444,University of Wisconsin-Madison,1,Main Campus,40922,0,0,14,,,0,,,2,5,119,32,3
2002,240444,University of Wisconsin-Madison,1,Main Campus,40884,0,0,14,,,1,,,4,5,57,37,2
2003,240444,University of Wisconsin-Madison,1,Main Campus,40879,0,0,13,,,2,,,6,2,32,25,6
2004,240444,University of Wisconsin-Madison,1,Main Campus,40455,0,0,14,,,0,,,2,9,45,53,2
2005,240444,University of Wisconsin-Madison,1,Main Campus,40793,0,0,14,,,0,,,4,2,22,30,1
2006,240444,University of Wisconsin-Madison,1,Main Campus,41028,0,0,8,,,1,,,5,6,157,15,3
2007,240444,University of Wisconsin-Madison,1,Main Campus,41563,0,0,7,,,1,,,5,9,167,17,6
2008,240444,University of Wisconsin-Madison,1,Main Campus,41620,0,0,5,,,0,,,1,4,56,11,1
2009,240444,University of Wisconsin-Madison,1,Main Campus,41654,0,0,4,,,2,,,1,11,83,12,1
2010,240444,University of Wisconsin-Madison,1,Main Campus,42180,0,0,9,,,0,,,3,1,57,9,3
2011,240444,University of Wisconsin-Madison,1,Main Campus,41946,0,0,24,,,0,,,2,3,32,3,1
2012,240444,University of Wisconsin-Madison,1,Main Campus,42269,0,0,15,,,0,,,2,2,33,1,0
2013,240444,University of Wisconsin-Madison,1,Main Campus,42677,0,0,29,,,1,,,3,2,37,3,1
2014,240444,University of Wisconsin-Madison,1,Main Campus,42598,0,1,,17,9,,0,0,1,4,41,5,1
2015,240444,University of Wisconsin-Madison,1,Main Campus,42716,0,0,,9,11,,0,0,2,5,31,1,0
2016,240444,University of Wisconsin-Madison,1,Main Campus,42582,0,0,,7,28,,0,0,1,4,34,3,2
