Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,240444,University of Wisconsin-Madison,1,Main Campus,40922,0,0,10,,,0,,,1,0,23,13,1
2002,240444,University of Wisconsin-Madison,1,Main Campus,40884,0,0,9,,,1,,,1,2,7,8,1
2003,240444,University of Wisconsin-Madison,1,Main Campus,40879,0,0,9,,,1,,,2,1,6,11,3
2004,240444,University of Wisconsin-Madison,1,Main Campus,40455,0,0,10,,,0,,,0,0,21,11,1
2005,240444,University of Wisconsin-Madison,1,Main Campus,40793,0,0,6,,,0,,,1,1,7,0,1
2006,240444,University of Wisconsin-Madison,1,Main Campus,41028,0,0,5,,,0,,,0,0,19,0,3
2007,240444,University of Wisconsin-Madison,1,Main Campus,41563,0,0,4,,,0,,,1,2,14,0,2
2008,240444,University of Wisconsin-Madison,1,Main Campus,41620,0,0,1,,,0,,,0,0,10,0,0
2009,240444,University of Wisconsin-Madison,1,Main Campus,41654,0,0,2,,,1,,,0,8,11,0,0
2010,240444,University of Wisconsin-Madison,1,Main Campus,42180,0,0,7,,,0,,,0,0,6,0,0
2011,240444,University of Wisconsin-Madison,1,Main Campus,41946,0,0,13,,,0,,,0,0,4,0,1
2012,240444,University of Wisconsin-Madison,1,Main Campus,42269,0,0,11,,,0,,,0,1,9,0,0
2013,240444,University of Wisconsin-Madison,1,Main Campus,42677,0,0,17,,,0,,,0,0,9,0,1
2014,240444,University of Wisconsin-Madison,1,Main Campus,42598,0,0,,14,5,,0,0,0,1,11,0,0
2015,240444,University of Wisconsin-Madison,1,Main Campus,42716,0,0,,9,7,,0,0,1,1,11,0,0
2016,240444,University of Wisconsin-Madison,1,Main Campus,42582,0,0,,6,8,,0,0,0,0,16,0,1
