,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Location,Hate_Crimes,There are no data to download.
0,2001.0,164988.0,Boston University,1.0,Boston University Charles River Campus,27756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Noncampus,0.0,
1,2002.0,164988.0,Boston University,1.0,Boston University Charles River Campus,28982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noncampus,0.0,
2,2003.0,164988.0,Boston University,1.0,Boston University Charles River Campus,29049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Noncampus,0.0,
3,2004.0,164988.0,Boston University,1.0,Boston University Charles River Campus,29596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,Noncampus,0.0,
4,2005.0,164988.0,Boston University,1.0,Boston University Charles River Campus,30957.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Noncampus,0.0,
5,2006.0,164988.0,Boston University,1.0,Boston University Charles River Campus,31574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Noncampus,0.0,
6,2007.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,Noncampus,0.0,
7,2008.0,164988.0,Boston University,1.0,Boston University Charles River Campus,31766.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,Noncampus,0.0,
8,2009.0,164988.0,Boston University,1.0,Boston University Charles River Campus,31960.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Noncampus,0.0,
9,2010.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Noncampus,0.0,
10,2011.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Noncampus,0.0,
11,2012.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Noncampus,0.0,
12,2013.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32411.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noncampus,2.0,
13,2014.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noncampus,0.0,
14,2015.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Noncampus,0.0,
15,2016.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Noncampus,0.0,
