,id,location.lat,location.lon,school.city,school.name,school.state,school.zip
0,211440,40.44357,-79.941993,Pittsburgh,Carnegie Mellon University,PA,15213-3890
0,194310,40.711014,-74.004719,New York,Pace University-New York,NY,10038-1598
1,193900,40.729452,-73.997264,New York,New York University,NY,10012-1091
2,195809,40.722523,-73.796104,Queens,St John's University-New York,NY,11439
3,196176,41.740936,-74.082188,New Paltz,State University of New York at New Paltz,NY,12561-2443
4,190150,40.808286,-73.961885,New York,Columbia University in the City of New York,NY,10027
0,204705,40.069314,-82.447441,Newark,Ohio State University-Newark Campus,OH,43055
1,204671,40.738521,-84.02384,Lima,Ohio State University-Lima Campus,OH,45804
2,204680,40.796536,-82.580194,Mansfield,Ohio State University-Mansfield Campus,OH,44906
3,204699,40.577779,-83.090597,Marion,Ohio State University-Marion Campus,OH,43302-5695
4,204796,39.999324,-83.014853,Columbus,Ohio State University-Main Campus,OH,43210
5,204662,40.775194,-81.922936,Wooster,Ohio State University Agricultural Technical Institute,OH,44691-4000
0,209542,44.56395,-123.274723,Corvallis,Oregon State University,OR,97331
1,440828,44.042795,-121.333703,Bend,Oregon State University-Cascades Campus,OR,97702
2,432241,45.424135,-122.745086,Tigard,University of Phoenix-Oregon,OR,97223-8328
3,209551,44.045146,-123.075792,Eugene,University of Oregon,OR,97403
0,209807,45.511601,-122.686289,Portland,Portland State University,OR,97201
1,208187,45.52213,-122.677741,Portland,Paul Mitchell the School-Portland,OR,97205
2,375841,45.520289,-122.681536,Portland,Le Cordon Bleu College of Culinary Arts-Portland,OR,97205-2793
0,487296,31.567832,-110.245117,Sierra Vista,University of Arizona-South,AZ,85635
1,484613,33.40213,-111.965987,Tempe,University of Phoenix-Arizona,AZ,85282
2,104179,32.232672,-110.950815,Tucson,University of Arizona,AZ,85721-0066
0,110635,37.871918,-122.260463,Berkeley,University of California-Berkeley,CA,94720
1,245342,38.721992,-90.311898,Berkeley,Vatterott College-Berkeley,MO,63134
2,125170,37.869769,-122.269877,Berkeley,Berkeley City College,CA,94704
3,183789,40.898587,-74.189483,Woodland Park,Berkeley College-Woodland Park,NJ,07424
4,189228,40.753986,-73.979458,New York,Berkeley College-New York,NY,10017
5,18922801,0.0,0.0,White Plains,Berkeley College - Westchester Campus,NY,10601
6,384306,37.862754,-122.267636,Berkeley,Acupuncture and Integrative Medicine College-Berkeley,CA,94704
0,126580,38.892735,-104.800296,Colorado Springs,University of Colorado Colorado Springs,CO,80918
1,484640,39.55155,-104.873171,Lone Tree,University of Phoenix-Colorado,CO,80124
2,127741,40.410855,-104.692777,Greeley,University of Northern Colorado,CO,80639
3,126614,40.008781,-105.270823,Boulder,University of Colorado Boulder,CO,80309-0017
4,126562,39.745149,-104.837722,Denver,University of Colorado Denver/Anschutz Medical Campus,CO,80217-3364
0,130943,39.679577,-75.752822,Newark,University of Delaware,DE,19716
1,418010,42.129648,-75.934739,Binghamton,Broome Delaware Tioga BOCES-Practical Nursing Program,NY,13905
0,157085,38.038911,-84.504747,Lexington,University of Kentucky,KY,40506-0032
1,445391,38.224504,-85.560664,Louisville,University of Phoenix-Kentucky,KY,40223-3839
2,157447,39.029714,-84.463483,Highland Heights,Northern Kentucky University,KY,41099
3,157951,36.985035,-86.456828,Bowling Green,Western Kentucky University,KY,42101-1000
0,163286,38.988178,-76.944721,College Park,University of Maryland-College Park,MD,20742
1,163204,38.912706,-76.847584,Adelphi,University of Maryland-University College,MD,20783-8010
2,163107,39.298341,-76.509127,Baltimore,Maryland Beauty Academy,MD,21224
0,176372,31.32661,-89.331236,Hattiesburg,University of Southern Mississippi,MS,39406-0001
1,176017,34.365529,-89.537434,University,University of Mississippi,MS,38677-1848
2,17601701,0.0,0.0,Jackson,University of Mississippi Medical Center,MS,392164505
0,228778,30.282825,-97.738273,Austin,The University of Texas at Austin,TX,78712
