,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking,Location,There are no data to download.
0,2014.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32112.0,0.0,0.0,0.0,Noncampus,
1,2015.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32158.0,0.0,0.0,0.0,Noncampus,
2,2016.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32695.0,0.0,0.0,0.0,Noncampus,
0,2014.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32112.0,0.0,8.0,15.0,On_campus,
1,2015.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32158.0,4.0,5.0,12.0,On_campus,
2,2016.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32695.0,7.0,5.0,15.0,On_campus,
0,2014.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32112.0,0.0,7.0,5.0,On_campus_Student_Housing_Facilities,
1,2015.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32158.0,3.0,4.0,4.0,On_campus_Student_Housing_Facilities,
2,2016.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32695.0,4.0,4.0,8.0,On_campus_Student_Housing_Facilities,
0,2014.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32112.0,0.0,0.0,0.0,Public_Property,
1,2015.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32158.0,2.0,4.0,0.0,Public_Property,
2,2016.0,164988.0,Boston University,1.0,Boston University Charles River Campus,32695.0,0.0,3.0,0.0,Public_Property,
0,2014.0,211431.0,Carlow University,1.0,Main Campus,2201.0,0.0,0.0,1.0,Noncampus,
1,2016.0,211431.0,Carlow University,1.0,Main Campus,2255.0,0.0,0.0,0.0,Noncampus,
0,2014.0,211431.0,Carlow University,1.0,Main Campus,2201.0,0.0,1.0,0.0,On_campus,
1,2015.0,211431.0,Carlow University,1.0,Main Campus,2272.0,0.0,0.0,0.0,On_campus,
2,2016.0,211431.0,Carlow University,1.0,Main Campus,2255.0,0.0,0.0,0.0,On_campus,
0,2014.0,211431.0,Carlow University,1.0,Main Campus,2201.0,0.0,1.0,0.0,On_campus_Student_Housing_Facilities,
1,2015.0,211431.0,Carlow University,1.0,Main Campus,2272.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
2,2016.0,211431.0,Carlow University,1.0,Main Campus,2255.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
0,2014.0,211431.0,Carlow University,1.0,Main Campus,2201.0,0.0,0.0,0.0,Public_Property,
1,2015.0,211431.0,Carlow University,1.0,Main Campus,2272.0,0.0,0.0,0.0,Public_Property,
2,2016.0,211431.0,Carlow University,1.0,Main Campus,2255.0,0.0,0.0,0.0,Public_Property,
0,2014.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12587.0,0.0,0.0,0.0,Noncampus,
1,2015.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12963.0,0.0,0.0,0.0,Noncampus,
2,2016.0,211440.0,Carnegie Mellon University,1.0,Main Campus,13258.0,0.0,1.0,1.0,Noncampus,
0,2014.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12587.0,2.0,5.0,27.0,On_campus,
1,2015.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12963.0,2.0,15.0,15.0,On_campus,
2,2016.0,211440.0,Carnegie Mellon University,1.0,Main Campus,13258.0,3.0,22.0,28.0,On_campus,
0,2014.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12587.0,0.0,4.0,7.0,On_campus_Student_Housing_Facilities,
1,2015.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12963.0,0.0,11.0,4.0,On_campus_Student_Housing_Facilities,
2,2016.0,211440.0,Carnegie Mellon University,1.0,Main Campus,13258.0,0.0,9.0,8.0,On_campus_Student_Housing_Facilities,
0,2014.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12587.0,0.0,0.0,0.0,Public_Property,
1,2015.0,211440.0,Carnegie Mellon University,1.0,Main Campus,12963.0,0.0,0.0,0.0,Public_Property,
